triple_id,architecture,p_rare,Ag,R2,ms_diff,excess_kurtosis
23,rare (p=0.05),0.05,0.6868838104567321,0.6999169477324655,0.057407851747623556,-0.027121528485406277
23,rare (p=0.02),0.02,0.6868838104567321,0.6717069460471126,0.06080111392758327,0.046290855070849846
23,very rare (p=0.005),0.005,0.6868838104567321,0.6716224448552955,0.06580000182635415,-0.024848679122658868
24,common (p=0.5),0.5,0.10966382368353601,0.10704251493858892,0.09278855386395204,0.029942297826521247
24,rare (p=0.05),0.05,0.10966382368353601,0.10166385111933304,0.09426400498169493,-0.019358154420754392
24,rare (p=0.02),0.02,0.10966382368353601,0.10975034961905794,0.0934766503828614,0.03183483101745721
24,very rare (p=0.005),0.005,0.10966382368353601,0.03351787790325342,0.11283832118425621,0.6061067850145297
25,common (p=0.5),0.5,0.12938183334110862,0.12355227569078907,0.20582789870978996,-0.030100348528650844
25,rare (p=0.05),0.05,0.12938183334110862,0.13788151371161197,0.19664577016301815,-0.04893266034365462
25,rare (p=0.02),0.02,0.12938183334110862,0.11997216871375482,0.2048438122908171,-0.04949953019309128
25,very rare (p=0.005),0.005,0.12938183334110862,0.14772215534611446,0.1957986802145485,0.12624094835652067
26,common (p=0.5),0.5,0.4705860779644024,0.4690169232189433,0.054646531146375195,-0.004269275515833781
26,rare (p=0.05),0.05,0.4705860779644024,0.471833931904222,0.049867341465202525,0.0027612977267937877
26,rare (p=0.02),0.02,0.4705860779644024,0.5610786593236919,0.033376682812831834,0.7223263978136146
26,very rare (p=0.005),0.005,0.4705860779644024,0.4732806746965726,0.05202514104722639,0.042684335076898505
27,common (p=0.5),0.5,0.20710824182000256,0.20456411777777794,0.1103731379504116,-0.017704552079774727
27,rare (p=0.05),0.05,0.20710824182000256,0.16981930352314065,0.11915442514794955,0.011330157274844765
27,rare (p=0.02),0.02,0.20710824182000256,0.21246599071754937,0.10093028943258363,-0.004570304026193961
27,very rare (p=0.005),0.005,0.20710824182000256,0.19020064491882796,0.11066627397654803,0.24176330041612093
28,common (p=0.5),0.5,0.6805686074532195,0.6896396859128056,0.04820715503003657,-0.03429851208161727
28,rare (p=0.05),0.05,0.6805686074532195,0.6914105851569562,0.04139555633462689,0.09512345250585719
28,rare (p=0.02),0.02,0.6805686074532195,0.6843985163739965,0.046951563316832395,0.1369140232385201
28,very rare (p=0.005),0.005,0.6805686074532195,0.6134053770314346,0.042581749650979654,0.29805495951474514
29,common (p=0.5),0.5,0.686893680203066,0.7037192206953665,0.09523085190369003,-0.08336648944438652
29,rare (p=0.05),0.05,0.686893680203066,0.6926714086654723,0.10060217517666939,0.0840741050162157
29,rare (p=0.02),0.02,0.686893680203066,0.6780219462775903,0.11213187338823756,0.01820807860739304
29,very rare (p=0.005),0.005,0.686893680203066,0.6063195122935642,0.131776774196354,0.37099459727884354
30,common (p=0.5),0.5,0.38842444585140334,0.3878463158406226,0.1189821548603901,-0.0024737581246473406
30,rare (p=0.05),0.05,0.38842444585140334,0.34057276239233525,0.1347590363306875,0.19161906881766988
30,rare (p=0.02),0.02,0.38842444585140334,0.3823754234099367,0.11737419219091227,-0.01158218612076467
30,very rare (p=0.005),0.005,0.38842444585140334,0.31798647269585045,0.13143810803982078,0.14373728335252056
31,common (p=0.5),0.5,0.3403076859521937,0.3471036337491685,0.06541727458276317,-0.0573966850596912
31,rare (p=0.05),0.05,0.3403076859521937,0.3400405767103332,0.06533047844348666,-0.0025536090465064776
31,rare (p=0.02),0.02,0.3403076859521937,0.3519675829762346,0.06354986856804418,-0.021525576159103554
31,very rare (p=0.005),0.005,0.3403076859521937,0.3564744036801432,0.060165518546135485,0.08216445980922782
32,common (p=0.5),0.5,0.47065149184226374,0.4849109418280091,0.10142000939730578,0.006678829805783493
32,rare (p=0.05),0.05,0.47065149184226374,0.4816454889035025,0.10678743749903431,0.02649412446336219
32,rare (p=0.02),0.02,0.47065149184226374,0.32095163493251844,0.17356946747855867,0.19259625197761154
32,very rare (p=0.005),0.005,0.47065149184226374,0.47941364597013375,0.10471245488121395,0.08647485395063781
33,common (p=0.5),0.5,0.3353260571029155,0.34942036692825673,0.15201217650826582,-0.042776720276882396
33,rare (p=0.05),0.05,0.3353260571029155,0.3328253968313121,0.16251999160233793,0.012060727987461717
33,rare (p=0.02),0.02,0.3353260571029155,0.33704829817382814,0.158546683937645,0.010056018015912493
33,very rare (p=0.005),0.005,0.3353260571029155,0.36871733605410484,0.14502368278690073,0.12053483849272839
34,common (p=0.5),0.5,0.17982985275729332,0.17616794152128756,0.07217543735172194,-0.012265405101685611
34,rare (p=0.05),0.05,0.17982985275729332,0.1469953110986735,0.07804207811997126,0.13736491340800605
34,rare (p=0.02),0.02,0.17982985275729332,0.20971024883398592,0.06670300131785734,0.001867887416013958
34,very rare (p=0.005),0.005,0.17982985275729332,0.17405412289391614,0.07618245283301336,0.013309708417314936
35,common (p=0.5),0.5,0.21259608754380713,0.21340729016445795,0.14627368972388624,0.023461121888698422
35,rare (p=0.05),0.05,0.21259608754380713,0.21081630944321192,0.14486466304935097,0.011479202057512072
35,rare (p=0.02),0.02,0.21259608754380713,0.20737405732911196,0.1518523252553046,0.013982370474179384
35,very rare (p=0.005),0.005,0.21259608754380713,0.18309135191371445,0.1676224456558969,0.03553478290521972
36,common (p=0.5),0.5,0.29382092017413125,0.28620992100680104,0.21314161735679205,-0.005633962228230427
36,rare (p=0.05),0.05,0.29382092017413125,0.30041458334604193,0.20729583911920102,-0.0032075815835505006
36,rare (p=0.02),0.02,0.29382092017413125,0.2946143504141502,0.214494198113895,0.09567878373118077
36,very rare (p=0.005),0.005,0.29382092017413125,0.2785167445942071,0.22587592765189138,0.02817773525957379
37,common (p=0.5),0.5,0.7203841335912651,0.724390477552502,0.18102752745247697,-0.013871152774250994
37,rare (p=0.05),0.05,0.7203841335912651,0.7263358704041335,0.1772701280275458,0.09741994148047273
37,rare (p=0.02),0.02,0.7203841335912651,0.7101305165820256,0.18539346740257326,-0.017885994112552872
37,very rare (p=0.005),0.005,0.7203841335912651,0.7227107159951361,0.1719460281024256,-0.025338054951173916
38,common (p=0.5),0.5,0.24100086836828352,0.24682433067907486,0.06737370338229094,-0.009195926162304913
38,rare (p=0.05),0.05,0.24100086836828352,0.24942561869987703,0.06913944401755844,-0.006795611819512382
38,rare (p=0.02),0.02,0.24100086836828352,0.2508081438249707,0.0655274026409665,0.11222133864074246
38,very rare (p=0.005),0.005,0.24100086836828352,0.17909602511777617,0.07410151365460096,0.27684135777839824
39,common (p=0.5),0.5,0.4896167460385825,0.4940065540764398,0.1179532743835435,-0.05357626341711885
39,rare (p=0.05),0.05,0.4896167460385825,0.3979102485053902,0.16595380541191815,0.07315850347653852
39,rare (p=0.02),0.02,0.4896167460385825,0.4900461067837501,0.11969650297354709,-0.029539685295230766
39,very rare (p=0.005),0.005,0.4896167460385825,0.46199795984867476,0.11070412841568744,0.3010709839123862
40,common (p=0.5),0.5,0.05626418359175245,0.05503021245232541,0.03811573842927751,-0.04580515752154324
40,rare (p=0.05),0.05,0.05626418359175245,0.04356044672845443,0.05235904855694717,0.04107403180136682
40,rare (p=0.02),0.02,0.05626418359175245,0.056408633841113526,0.03920412077547314,-0.019736944556718372
40,very rare (p=0.005),0.005,0.05626418359175245,0.059051115042409216,0.03662629036260436,0.11005566152817736
41,common (p=0.5),0.5,0.31205723727096907,0.3202898035575083,0.12437200907123212,-0.010862161603552134
41,rare (p=0.05),0.05,0.31205723727096907,0.33549867949557594,0.12834764116345246,0.006213347204242825
41,rare (p=0.02),0.02,0.31205723727096907,0.3248983046852078,0.12370678595759449,0.05530135520198487
41,very rare (p=0.005),0.005,0.31205723727096907,0.3167314861572817,0.12792226573053028,-0.022895042589101022
42,common (p=0.5),0.5,0.22363375753480416,0.21864308733868504,0.06844654567975327,-0.01267206699554202
42,rare (p=0.05),0.05,0.22363375753480416,0.23489231709391692,0.0674714804870178,0.15209289803949688
42,rare (p=0.02),0.02,0.22363375753480416,0.20637029836094117,0.09029892248585115,-0.020677070279394694
42,very rare (p=0.005),0.005,0.22363375753480416,0.18488715814245874,0.08527950246027195,0.10331842525864698
