generation,sigma2,sigma,b_mag,Vlin,Vquad,Ag
216,2.9605309975632697,1.720619364520599,0.3395955256449391,0.34142359563092,0.043823718937664846,0.8862452318798371
217,2.9607101081861575,1.7206714120325697,0.33790178589471304,0.33804682451652035,0.04382902172357845,0.8852270386956561
218,2.960889211591538,1.7207234558730051,0.3362164937067333,0.33470344853510214,0.04383432461659581,0.8842009233275927
219,2.961068307780452,1.7207754960425405,0.3345396069486076,0.3313931374406042,0.043839627616708954,0.8831668454911903
220,2.961247396753941,1.720827532541812,0.33287108369807955,0.3281155642525759,0.04384493072390997,0.8821247650864598
221,2.9614264785130455,1.7208795653714544,0.331210882241981,0.32487040522388827,0.043850233938190895,0.8810746422065201
222,2.9616055530588064,1.7209315945321029,0.329558961075189,0.32165733980876365,0.043855537259543796,0.8800164371463498
223,2.9617846203922644,1.720983620024393,0.32791527889958855,0.31847605063112155,0.043860840687960756,0.8789501104116504
224,2.9619636805144616,1.7210356418489599,0.32627979462303947,0.31532622345323663,0.043866144223433885,0.8778756227278184
225,2.962142733426435,1.7210876600064378,0.32465246735834974,0.3122075471447075,0.04387144786595518,0.8767929350490291
226,2.962321779129228,1.7211396744974616,0.3230332564222529,0.3091197136517328,0.04387675161551678,0.875702008567428
227,2.9625008176238774,1.7211916853226654,0.32142212133439135,0.3060624179666896,0.04388205547211072,0.8746028047224327
228,2.962679848911425,1.7212436924826842,0.31981902181630384,0.30303535809801346,0.043887359435729134,0.8734952852101404
229,2.9628588729929097,1.7212956959781518,0.3182239177904191,0.30003823504037647,0.04389266350636409,0.8723794119928454
230,2.9630378898693683,1.7213476958097014,0.31663676937905316,0.29707075274515904,0.043897967684007604,0.8712551473086604
231,2.963216899541841,1.7213996919779675,0.3150575369034133,0.2941326180912159,0.04390327196865182,0.8701224536812457
232,2.9633959020113663,1.7214516844835832,0.3134861808826053,0.2912235408559282,0.043908576360288804,0.8689812939296404
233,2.963574897278982,1.7215036733271822,0.31192266203264674,0.28834323368654385,0.04391388085891066,0.8678316311782001
234,2.963753885345726,1.7215556585093978,0.31036694126548503,0.28549141207180123,0.043919185464509444,0.8666734288666342
235,2.9639328662126356,1.7216076400308624,0.30881897968801986,0.2826677943138318,0.04392449017707726,0.865506650760147
236,2.9641118398807498,1.7216596178922097,0.30727873860113125,0.2798721015003428,0.04392979499660623,0.8643312609596772
237,2.964290806351105,1.7217115920940722,0.30574617949871175,0.27710405747707284,0.04393509992308843,0.8631472239122369
238,2.964469765624738,1.7217635626370824,0.3042212640667041,0.2743633888205215,0.04394040495651596,0.8619545044213487
239,2.9646487177026852,1.7218155295218722,0.30270395418214285,0.2716498248109471,0.043945710096880884,0.8607530676575779
240,2.964827662585983,1.7218674927490742,0.3011942119122021,0.26896309740563323,0.04395101534417533,0.8595428791691587
241,2.965006600275667,1.72191945231932,0.2996919995132463,0.26630294121241754,0.04395632069839136,0.8583239048927165
242,2.965185530772776,1.7219714082332425,0.2981972794298874,0.2636690934634842,0.04396162615952116,0.8570961111640764
243,2.965364454078343,1.7220233604914723,0.29671001429404525,0.26106129398941363,0.04396693172755675,0.8558594647291664
244,2.965543370193404,1.7220753090946412,0.2952301669240142,0.2584792851934907,0.043972237402490275,0.8546139327550054
245,2.965722279118994,1.7221272540433805,0.29375770032353277,0.2559228120262651,0.043977543184313815,0.8533594828407776
246,2.9659011808561493,1.7221791953383216,0.2922925776808594,0.2533916219603653,0.04398284907301951,0.8520960830289908
247,2.9660800754059036,1.7222311329800954,0.29083476236785155,0.2508854649655587,0.04398815506859946,0.8508237018167176
248,2.9662589627692917,1.722283066969333,0.2893842179390506,0.24840409348406195,0.04399346117104578,0.8495423081669151
249,2.9664378429473466,1.7223349973066642,0.2879409081307702,0.2459472624060918,0.043998767380350544,0.8482518715198221
250,2.966616715941104,1.72238692399272,0.2865047968601901,0.24351472904566066,0.04400407369650591,0.8469523618044322
251,2.9667955817515974,1.722438847028131,0.28507584822445353,0.24110625311660916,0.044009380119504005,0.84564374945004
252,2.9669744403798592,1.722490766413527,0.2836540264997704,0.23872159670887755,0.04401468664933691,0.8443260053978562
253,2.9671532918269232,1.7225426821495378,0.2822392961405233,0.23636052426500995,0.04401999328599675,0.8429991011126918
254,2.967332136093823,1.7225945942367935,0.2808316217783798,0.23402280255689292,0.04402530002947566,0.8416630085947078
