triple_id,G_scale,architecture,Ag,R2,spearman,ms_diff,excess_kurtosis
32,0.42958782681456037,monogenic,0.3348688287967335,0.33495958865966335,0.6062599296156497,0.3605377184265098,-0.034923632099574387
33,0.42958782681456037,infinitesimal,0.5570533330037046,0.5688161114542061,0.7867100633432751,0.15410568542983122,-0.01432133353385201
33,0.42958782681456037,oligogenic,0.5570533330037046,0.5640699776919316,0.7850126893100315,0.15587660744075546,-0.05909608491825469
33,0.42958782681456037,monogenic,0.5570533330037046,0.5623322233365244,0.7819059054362647,0.15824769151573545,-0.10020456520713861
34,0.42958782681456037,infinitesimal,0.3157297537578979,0.3219954997664823,0.6307571935743929,0.1728898429292937,0.01395189826361043
34,0.42958782681456037,oligogenic,0.3157297537578979,0.33606400998493596,0.6285906388719764,0.17160026476430926,-0.0818371450114137
34,0.42958782681456037,monogenic,0.3157297537578979,0.3194852444781884,0.6220288272385719,0.17627425496252477,-0.03151416679187047
35,0.42958782681456037,infinitesimal,0.03190321919485096,0.03032859340533349,0.3379265061033162,0.008939745119066188,-0.013920543290905196
35,0.42958782681456037,oligogenic,0.03190321919485096,0.0365560570302468,0.3538186647715466,0.008314914603417052,-0.06128736099699672
35,0.42958782681456037,monogenic,0.03190321919485096,0.03200309307902408,0.35516016937340034,0.0034973938607158177,-0.05946158237298449
36,0.42958782681456037,infinitesimal,0.3054837861422839,0.30074621430856635,0.6261467135498667,0.1453178712836326,-0.006542238431137326
36,0.42958782681456037,oligogenic,0.3054837861422839,0.3148012183989402,0.632546068537865,0.14008257577797106,-0.02368353254393929
36,0.42958782681456037,monogenic,0.3054837861422839,0.3175996672360094,0.6397376076678439,0.14013771974899428,-0.186224265409356
37,0.42958782681456037,infinitesimal,0.5923435737110937,0.6000949161054749,0.8172077424615193,0.2627597740910991,-0.016354623418771697
37,0.42958782681456037,oligogenic,0.5923435737110937,0.5922774740061914,0.8176382254930955,0.27431069943871195,-0.027044603589886806
37,0.42958782681456037,monogenic,0.5923435737110937,0.6095255292430245,0.8209199599727997,0.25623662442008266,-0.07117250287609878
